id,from_addr,to_addr,bg_id,county,state_or_territory,fullname,bg_smoke_risk,bg_pop_risk,bg_pop,place_id
5196211,8500,8698,170317111002,Cook,Illinois,S Ada St,0.84053242747350230731,0.22110623260610729577,83,1714000
5196212,8601,8699,170317111002,Cook,Illinois,S Ada St,0.84053242747350230731,0.22110623260610729577,83,1714000
5196213,1330,1512,170317111002,Cook,Illinois,W 86th St,0.84053242747350230731,0.22110623260610729577,83,1714000
5196214,1201,1499,170317111002,Cook,Illinois,W 86th St,0.84053242747350230731,0.22110623260610729577,83,1714000
5196215,8501,8699,170317111002,Cook,Illinois,S Laflin St,0.84053242747350230731,0.22110623260610729577,83,1714000
5196216,8500,8698,170317111002,Cook,Illinois,S Bishop St,0.84053242747350230731,0.22110623260610729577,83,1714000
5196217,8501,8699,170317111002,Cook,Illinois,S Bishop St,0.84053242747350230731,0.22110623260610729577,83,1714000
5196218,8660,8698,170317111002,Cook,Illinois,S Racine Ave,0.84053242747350230731,0.22110623260610729577,83,1714000
5196219,8500,8698,170317111002,Cook,Illinois,S Throop St,0.84053242747350230731,0.22110623260610729577,83,1714000
5196220,8601,8699,170317111002,Cook,Illinois,S Throop St,0.84053242747350230731,0.22110623260610729577,83,1714000
5196221,8600,8698,170317111002,Cook,Illinois,S Elizabeth St,0.84053242747350230731,0.22110623260610729577,83,1714000
5196222,8601,8699,170317111002,Cook,Illinois,S Elizabeth St,0.84053242747350230731,0.22110623260610729577,83,1714000
5196223,8500,8698,170317111002,Cook,Illinois,S Loomis Blvd,0.84053242747350230731,0.22110623260610729577,83,1714000
5196224,8501,8699,170317111002,Cook,Illinois,S Loomis Blvd,0.84053242747350230731,0.22110623260610729577,83,1714000
5196225,1331,1499,170317111002,Cook,Illinois,W 85th St,0.84053242747350230731,0.22110623260610729577,83,1714000
5196226,1500,1598,170317111003,Cook,Illinois,W 86th St,0.84053242747350230731,0.18618872427165179180,55,1714000
5196227,1501,1599,170317111003,Cook,Illinois,W 86th St,0.84053242747350230731,0.18618872427165179180,55,1714000
5196228,8300,8698,170317111003,Cook,Illinois,S Justine St,0.84053242747350230731,0.18618872427165179180,55,1714000
5196229,8501,8699,170317111003,Cook,Illinois,S Justine St,0.84053242747350230731,0.18618872427165179180,55,1714000
5196230,8201,8699,170317111003,Cook,Illinois,S Ashland Ave,0.84053242747350230731,0.18618872427165179180,55,1714000
5196231,1334,1356,170317111003,Cook,Illinois,W 83rd St,0.84053242747350230731,0.18618872427165179180,55,1714000
5196232,1331,1613,170317111003,Cook,Illinois,W 83rd St,0.84053242747350230731,0.18618872427165179180,55,1714000
5196233,8301,8499,170317111003,Cook,Illinois,S Loomis Blvd,0.84053242747350230731,0.18618872427165179180,55,1714000
5196234,1532,1612,170317111003,Cook,Illinois,W 85th St,0.84053242747350230731,0.18618872427165179180,55,1714000
5196235,1501,1599,170317111003,Cook,Illinois,W 85th St,0.84053242747350230731,0.18618872427165179180,55,1714000
5196236,1330,1598,170317111003,Cook,Illinois,W 84th St,0.84053242747350230731,0.18618872427165179180,55,1714000
5196237,1401,1599,170317111003,Cook,Illinois,W 84th St,0.84053242747350230731,0.18618872427165179180,55,1714000
5196238,8100,8398,170317112001,Cook,Illinois,S Marshfield Ave,0.96833572820464657293,0.07530040992980184740,68,1714000
5196239,8201,8399,170317112001,Cook,Illinois,S Marshfield Ave,0.96833572820464657293,0.07530040992980184740,68,1714000
5196240,8201,8299,170317112001,Cook,Illinois,S Honore St,0.96833572820464657293,0.07530040992980184740,68,1714000
5196241,1601,1829,170317112001,Cook,Illinois,W 82nd St,0.96833572820464657293,0.07530040992980184740,68,1714000
5196242,8100,8398,170317112001,Cook,Illinois,S Paulina St,0.96833572820464657293,0.07530040992980184740,68,1714000
5196243,8201,8399,170317112001,Cook,Illinois,S Paulina St,0.96833572820464657293,0.07530040992980184740,68,1714000
5196244,8200,8298,170317112001,Cook,Illinois,S Wood St,0.96833572820464657293,0.07530040992980184740,68,1714000
5196245,8201,8399,170317112001,Cook,Illinois,S Wood St,0.96833572820464657293,0.07530040992980184740,68,1714000
5196246,8200,8398,170317112001,Cook,Illinois,S Ashland Ave,0.96833572820464657293,0.07530040992980184740,68,1714000
5196247,8200,8398,170317112001,Cook,Illinois,S Hermitage Ave,0.96833572820464657293,0.07530040992980184740,68,1714000
5196248,8201,8399,170317112001,Cook,Illinois,S Hermitage Ave,0.96833572820464657293,0.07530040992980184740,68,1714000
5196249,1600,1798,170317112001,Cook,Illinois,W 83rd St,0.96833572820464657293,0.07530040992980184740,68,1714000
5196250,1601,1799,170317112001,Cook,Illinois,W 83rd St,0.96833572820464657293,0.07530040992980184740,68,1714000
5196251,1643-1601,1643-1699,170317112001,Cook,Illinois,W 83rd St,0.96833572820464657293,0.07530040992980184740,68,1714000
5196252,8316,8698,170317112002,Cook,Illinois,S Marshfield Ave,0.91093723752488008638,0.33136435498486573343,59,1714000
5196253,8401,8699,170317112002,Cook,Illinois,S Marshfield Ave,0.91093723752488008638,0.33136435498486573343,59,1714000
5196254,1600,1728,170317112002,Cook,Illinois,W 86th St,0.91093723752488008638,0.33136435498486573343,59,1714000
5196255,1601,1729,170317112002,Cook,Illinois,W 86th St,0.91093723752488008638,0.33136435498486573343,59,1714000
5196256,8400,8698,170317112002,Cook,Illinois,S Paulina St,0.91093723752488008638,0.33136435498486573343,59,1714000
5196257,8401,8699,170317112002,Cook,Illinois,S Paulina St,0.91093723752488008638,0.33136435498486573343,59,1714000
5196258,8400,8698,170317112002,Cook,Illinois,S Ashland Ave,0.91093723752488008638,0.33136435498486573343,59,1714000
